Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Minutes Listened,Ms Played
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),2.1921,131526
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),0.050833333,3050
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),3.797433333,227846
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),0.01385,831
2020,September,0,Jacob Collier,CLARITY,0.015283333,917
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),0.0167,1002
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),0.0288,1728
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,0,Jacob Collier,Running Outta Love (feat. Tori Kelly),4.426433333,265586
2020,September,0,Jacob Collier,Light It Up On Me,2.084433333,125066
2020,September,0,Jacob Collier,He Won't Hold You (feat. Rapsody),5.002216667,300133
2020,September,0,Jacob Collier,To Sleep,3.206433333,192386
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),3.878433333,232706
2020,September,0,Jacob Collier,Butterflies,2.038216667,122293
2020,September,1,Jacob Collier,Sleeping On My Dreams,3.232816667,193969
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.3582,261492
2020,September,1,DaBaby,ROCKSTAR (feat. Roddy Ricch),3.028883333,181733
2020,September,1,24kGoldn,Mood (feat. iann dior),2.342083333,140525
2020,September,1,Subtle Pride,Gentle Girl,3.813066667,228784
2020,September,1,Hozier,"Wasteland, Baby!",4.4411,266466
2020,September,1,Kamasi Washington,Desire,4.61515,276909
2020,September,1,Kamasi Washington,Truth,0.017416667,1045
2020,September,1,Kamasi Washington,Integrity,0.01385,831
2020,September,1,Kamasi Washington,Perspective,0.008883333,533
2020,September,1,Kamasi Washington,Humility,2.112016667,126721
2020,September,1,Kamasi Washington,Knowledge,0.0064,384
2020,September,1,Florence + The Machine,June,3.69955,221973
2020,September,1,Florence + The Machine,Hunger,3.577766667,214666
2020,September,1,Florence + The Machine,Big God,4.029333333,241760
2020,September,1,Florence + The Machine,Sky Full Of Song,3.769333333,226160
2020,September,1,Florence + The Machine,Grace,4.812883333,288773
2020,September,1,Florence + The Machine,Patricia,3.62355,217413
2020,September,1,Florence + The Machine,100 Years,4.972666667,298360
2020,September,1,Florence + The Machine,The End Of Love,4.690666667,281440
2020,September,1,Florence + The Machine,No Choir,2.485333333,149120
2020,September,1,Phoebe Bridgers,DVD Menu,1.165516667,69931
2020,September,1,Phoebe Bridgers,Garden Song,3.66135,219681
2020,September,1,Phoebe Bridgers,Kyoto,3.0754,184524
2020,September,1,Phoebe Bridgers,Punisher,3.160366667,189622
2020,September,1,Phoebe Bridgers,Halloween,4.5211,271266
2020,September,1,Phoebe Bridgers,Chinese Satellite,3.617833333,217070
2020,September,1,Phoebe Bridgers,Moon Song,4.627933333,277676
2020,September,1,Phoebe Bridgers,Savior Complex,4.027333333,241640
2020,September,1,Phoebe Bridgers,ICU,3.168216667,190093
2020,September,1,Phoebe Bridgers,Graceland Too,3.939166667,236350
2020,September,1,Phoebe Bridgers,I Know The End,5.200066667,312004
2020,September,1,Bombay Bicycle Club,Always Like This,4.094,245640
2020,September,1,Twin Peaks,Ferry Song,3.812,228720
2020,September,1,Liza Anne,Desire,2.990066667,179404
2020,September,1,Liza Anne,I Shouldn't Ghost My Therapist,3.006616667,180397
2020,September,1,Liza Anne,Bad Vacation,0.789633333,47378
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),0.078566667,4714
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),1.136883333,68213
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.3582,261492
2020,September,1,DaBaby,ROCKSTAR (feat. Roddy Ricch),3.028883333,181733
2020,September,1,24kGoldn,Mood (feat. iann dior),2.342083333,140525
2020,September,1,Subtle Pride,Gentle Girl,3.813066667,228784
2020,September,1,Hozier,"Wasteland, Baby!",4.4411,266466
2020,September,1,Kamasi Washington,Truth,0.008166667,490
