Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Album,End Time,End Time (Adj),Track Uri,Unique ID,F1,Minutes Listened,Ms Played
2020,October,0,Yoke Lore,Goodpain,,10/29/2020 6:19:00 PM,10/29/2020 1:19:00 PM,,Yoke Lore:Goodpain,2136,0.341383333,20483
2021,May,0,Yoke Lore,Goodpain,,5/22/2021 5:41:00 PM,5/22/2021 12:41:00 PM,,Yoke Lore:Goodpain,10130,3.33315,199989
2020,October,0,Yoke Lore,Goodpain,,10/28/2020 9:42:00 PM,10/28/2020 4:42:00 PM,,Yoke Lore:Goodpain,2135,4.025166667,241510
2020,October,0,Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,,10/30/2020 4:41:00 PM,10/30/2020 11:41:00 AM,,Yoke Lore:Truly Madly Deeply - Recorded at Spotify Studios NYC,2168,3.1732,190392
2020,December,0,Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,,12/15/2020 7:55:00 PM,12/15/2020 2:55:00 PM,,Yoke Lore:Truly Madly Deeply - Recorded at Spotify Studios NYC,3741,3.1732,190392
2021,May,0,Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,,5/22/2021 3:09:00 PM,5/22/2021 10:09:00 AM,,Yoke Lore:Truly Madly Deeply - Recorded at Spotify Studios NYC,10107,3.1732,190392
2021,April,0,Yot Club,YKWIM?,,4/23/2021 8:02:00 PM,4/23/2021 3:02:00 PM,,Yot Club:YKWIM?,8995,3.545833333,212750
2021,April,0,Yot Club,YKWIM?,,4/29/2021 9:55:00 PM,4/29/2021 4:55:00 PM,,Yot Club:YKWIM?,9309,3.545833333,212750
2020,October,0,Young Jesus,(un)knowing,,10/10/2020 8:49:00 PM,10/10/2020 3:49:00 PM,,Young Jesus:(un)knowing,1551,1.016516667,60991
2021,August,0,Young the Giant,Call Me Back,,8/5/2021 8:21:00 AM,8/5/2021 3:21:00 AM,,Young the Giant:Call Me Back,15051,3.962433333,237746
2021,May,0,Young the Giant,Heat of the Summer,,5/24/2021 12:51:00 PM,5/24/2021 7:51:00 AM,,Young the Giant:Heat of the Summer,10246,2.796116667,167767
2020,November,0,Yumi Zouma,Cool For A Second - Alternate Version,,11/18/2020 9:48:00 PM,11/18/2020 4:48:00 PM,,Yumi Zouma:Cool For A Second - Alternate Version,2894,2.975283333,178517
2020,December,0,Yumi Zouma,Powder Blue / Cascine Park,,12/16/2020 9:11:00 PM,12/16/2020 4:11:00 PM,,Yumi Zouma:Powder Blue / Cascine Park,3767,3.804,228240
2020,October,0,Yumi Zouma,Southwark,,10/30/2020 7:25:00 PM,10/30/2020 2:25:00 PM,,Yumi Zouma:Southwark,2171,3.366716667,202003
2021,February,0,Yumi Zouma,Southwark,,2/3/2021 3:34:00 PM,2/3/2021 10:34:00 AM,,Yumi Zouma:Southwark,4936,3.366716667,202003
2021,January,0,Yung Baby Tate,Lesson Learned,,1/3/2021 6:19:00 PM,1/3/2021 1:19:00 PM,,Yung Baby Tate:Lesson Learned,4179,3.212666667,192760
2021,January,0,Yung L,Eve Bounce - Remix,,1/30/2021 3:17:00 PM,1/30/2021 10:17:00 AM,,Yung L:Eve Bounce - Remix,4842,2.644033333,158642
2021,July,0,Yusuf / Cat Stevens,Peace Train,,7/24/2021 11:43:00 AM,7/24/2021 6:43:00 AM,,Yusuf / Cat Stevens:Peace Train,14042,4.188883333,251333
2020,November,0,Yusuf / Cat Stevens,The Wind,,11/28/2020 10:01:00 PM,11/28/2020 5:01:00 PM,,Yusuf / Cat Stevens:The Wind,3162,1.703333333,102200
2020,November,0,ZAYN,Still Got Time (feat. PARTYNEXTDOOR),,11/22/2020 12:51:00 AM,11/21/2020 7:51:00 PM,,ZAYN:Still Got Time (feat. PARTYNEXTDOOR),3017,3.1415,188490
2021,July,0,Ziggy Marley,"Cry, Cry, Cry",,7/29/2021 5:59:00 PM,7/29/2021 12:59:00 PM,,"Ziggy Marley:Cry, Cry, Cry",14395,0.285366667,17122
